dataset,method,compression_ratio,image_ratio,text_ratio,inner,n_samples,accuracy,mean_prefill_ms,mean_decode_ms,mean_throughput_tok_per_sec,peak_gpu_mem_gb,mean_image_fraction,mean_effective_compression,file
docvqa,h2o,0.0,,,,50,0.8,429.04140000000007,874.1249999999997,17.140199999999997,9.287,,,docvqa_h2o_cr0p00.jsonl
docvqa,h2o,0.3,,,,50,0.78,504.2816,828.0654000000001,17.62420000000001,9.133,,,docvqa_h2o_cr0p30.jsonl
docvqa,h2o,0.5,,,,50,0.76,505.9947999999998,838.8014,17.434200000000004,9.048,,,docvqa_h2o_cr0p50.jsonl
docvqa,h2o,0.7,,,,50,0.72,508.10940000000005,816.508,17.3898,9.048,,,docvqa_h2o_cr0p70.jsonl
docvqa,modality,,0.3,0.1,h2o,50,0.78,516.6520000000002,870.1622,17.456799999999998,9.134,,0.2985399999999998,docvqa_modality-h2o_i0p30_t0p10.jsonl
docvqa,modality,,0.5,0.2,h2o,50,0.74,518.6263999999999,952.3931999999998,17.5598,9.048,,0.49764000000000025,docvqa_modality-h2o_i0p50_t0p20.jsonl
docvqa,modality,,0.7,0.2,h2o,50,0.74,519.0822000000001,907.8906,17.528000000000002,9.048,,0.6960600000000001,docvqa_modality-h2o_i0p70_t0p20.jsonl
docvqa,modality,,0.7,0.3,h2o,50,0.72,521.8965999999999,975.5981999999999,17.4548,9.048,,0.69684,docvqa_modality-h2o_i0p70_t0p30.jsonl
docvqa,modality,,0.8,0.3,h2o,50,0.68,524.6882,961.7453999999998,17.413799999999995,9.048,,0.7960999999999996,docvqa_modality-h2o_i0p80_t0p30.jsonl
docvqa,pyramid,0.0,,,,50,0.76,428.3926,836.9440000000001,17.5736,9.287,,,docvqa_pyramid_cr0p00.jsonl
docvqa,pyramid,0.3,,,,50,0.74,462.87799999999993,899.5994000000001,17.602199999999993,9.129,,,docvqa_pyramid_cr0p30.jsonl
docvqa,pyramid,0.5,,,,50,0.74,466.64480000000003,928.4318000000002,17.644399999999997,9.048,,,docvqa_pyramid_cr0p50.jsonl
docvqa,pyramid,0.7,,,,50,0.8,464.2904000000001,813.9906000000001,17.770799999999998,9.048,,,docvqa_pyramid_cr0p70.jsonl
docvqa,snapkv,0.0,,,,50,0.74,429.3169999999999,932.9258,17.423000000000002,9.287,,,docvqa_snapkv_cr0p00.jsonl
docvqa,snapkv,0.3,,,,50,0.74,460.7276000000001,858.6436,17.8142,9.133,,,docvqa_snapkv_cr0p30.jsonl
docvqa,snapkv,0.5,,,,50,0.76,464.8007999999999,908.011,17.344399999999997,9.048,,,docvqa_snapkv_cr0p50.jsonl
